Group,VDD,VDS
A,47,28
A,54,35
A,56,36
A,51,29
A,51,29
A,45,30
A,44,25
A,39,24
A,49,30
A,52,28
A,51,33
A,47,35
A,49,30
A,53,33
A,48,28
A,58,40
A,58,40
A,50,34
A,51,38
A,46,31
A,46,29
A,40,28
A,50,28
A,42,27
A,51,30
A,56,30
A,50,28
A,57,32
A,51,32
A,53,28
A,53,29
A,55,35
A,50,30
A,49,27
A,46,29
A,48,30
A,36,22
A,50,38
A,46,26
A,39,23
A,48,28
A,49,32
A,42,23
A,50,31
A,47,30
A,48,33
A,47,30
A,49,32
A,50,28
A,51,29
A,48,38
A,50,30
A,55,32
A,47,28
A,51,30
A,52,33
A,44,28
A,50,32
A,51,35
A,50,33
A,46,27
A,47,29
A,55,40
A,56,34
A,53,35
A,44,26
A,57,33
A,52,32
A,54,38
A,46,29
A,47,34
A,51,35
A,50,29
A,42,26
A,45,30
A,51,31
A,37,22
A,45,29
A,46,30
A,52,38
A,49,32
A,50,33
A,52,36
A,42,25
A,41,26
A,48,30
A,45,27
A,42,26
A,45,26
A,47,31
A,46,28
A,49,34
A,41,28
A,49,29
A,51,34
A,45,30
A,43,28
A,52,34
A,48,30
A,54,33
A,47,29
A,45,28
A,49,32
A,44,28
A,54,36
A,47,27
A,52,26
A,51,33
A,51,33
A,48,32
A,49,31
A,40,25
A,51,29
A,46,30
A,41,25
A,55,39
A,43,25
A,43,30
A,45,28
A,38,26
A,52,32
A,51,33
A,47,35
A,38,23
A,46,35
A,54,35
A,47,28
A,44,32
A,51,32
A,49,35
A,39,24
A,50,33
A,48,32
A,48,31
A,50,31
A,47,32
A,45,27
A,44,27
A,48,32
A,53,33
A,40,26
A,40,24
A,51,31
A,44,28
A,49,29
A,49,29
A,42,27
A,46,26
A,48,33
A,54,35
A,47,31
A,46,31
A,47,32
B,46,28
B,42,23
B,52,27
B,54,31
B,54,31
B,50,34
B,43,29
B,45,24
B,48,31
B,42,28
B,47,27
B,50,32
B,47,30
B,55,30
B,52,30
B,48,28
B,38,27
B,42,26
B,52,32
B,42,24
B,47,27
B,49,30
B,41,27
B,52,34
B,49,28
B,51,29
B,50,30
B,53,33
B,51,32
B,56,34
B,50,28
B,50,30
B,57,36
B,55,31
B,48,29
B,44,26
B,49,26
B,45,28
B,44,25
B,45,25
B,46,25
B,52,31
B,42,27
B,52,34
B,51,29
B,49,29
B,46,27
B,44,28
B,40,27
B,43,26
B,47,26
B,44,31
B,45,27
B,43,25
B,51,32
B,54,33
B,40,25
B,41,25
B,50,32
B,44,28
B,42,29
B,47,29
B,47,30
